,Unnamed: 0,Title,University,Link,Country,State,Location,Date
0,0,One-half reflected entropy is not a lower bound for entanglement of purification,"Beth Israel Deaconess Medical Center, Boston",https://arxiv.org/pdf/2309.02506v2,USA,MA,"USA, MA",9.2023
1,1,Computational supremacy in quantum simulation,Boston University,https://arxiv.org/pdf/2403.00910v1,USA,MA,"USA, MA",3.2024
2,2,The Cytnx Library for Tensor Networks,Boston University,https://arxiv.org/pdf/2401.01921v1,USA,MA,"USA, MA",1.2024
3,3,Detecting Measurement-Induced Entanglement Transitions With Unitary Mirror Circuits,Brandeis University,https://arxiv.org/pdf/2401.17367v1,USA,MA,"USA, MA",1.2024
4,4,One-half reflected entropy is not a lower bound for entanglement of purification,Brandies University,https://arxiv.org/pdf/2309.02506v2,USA,MA,"USA, MA",9.2023
5,5,"Tensor network influence functionals in the continuous-time limit: connections to quantum embedding, bath discretization, and higher-order time propagation","California Institute of Technology, Pasadena",https://arxiv.org/pdf/2401.12460v1,USA,CA,"USA, CA",1.2024
6,6,Fast and converged classical simulations of evidence for the utility of quantum computing before fault tolerance,"California Institute of Technology, Pasadena",https://arxiv.org/pdf/2308.05077v3,USA,CA,"USA, CA",8.2023
7,7,The Thermodynamic Limit of Spin Systems on Random Graphs,"Center for Computational Quantum Physics, Flatiron Institute",https://arxiv.org/pdf/2303.00731v2,USA,NY,"USA, NY",3.2023
8,8,"Tensor network influence functionals in the continuous-time limit: connections to quantum embedding, bath discretization, and higher-order time propagation","Columbia University, New York",https://arxiv.org/pdf/2401.12460v1,USA,NY,"USA, NY",1.2024
9,9,Overlapping qubits from non-isometric maps and de Sitter tensor networks,"David Rittenhouse Laboratory, University of Pennsylvania",https://arxiv.org/pdf/2304.02673v3,USA,PA,"USA, PA",4.2023
10,10,Quantum Circuit Simulation with Fast Tensor Decision Diagram,"Department of Electrical Engineering and Computer Science, University of Michigan",https://arxiv.org/pdf/2401.11362v1,USA,MI,"USA, MI",1.2024
11,11,Exact Renormalization of Wave Functionals yields Continuous MERA,"Department of Physics and Astronomy, Purdue University",https://arxiv.org/pdf/2301.09669v2,USA,IN,"USA, IN",1.2023
12,12,Emergent Holographic Forces from Tensor Networks and Criticality,"Department of Physics, Harvard University",https://arxiv.org/pdf/2401.13595v1,USA,MA,"USA, MA",1.2024
13,13,Magic Can Enhance the Quantum Capacity of Channels,"Department of Physics, Harvard University",https://arxiv.org/pdf/2401.12105v1,USA,MA,"USA, MA",1.2024
14,14,Link-area commutators in AdS${}_3$ area-networks,"Department of Physics, University of California, Santa Barbara",https://arxiv.org/pdf/2401.02487v1,USA,CA,"USA, CA",1.2024
15,15,Exact Renormalization of Wave Functionals yields Continuous MERA,"Department of Physics, University of Illinois",https://arxiv.org/pdf/2301.09669v2,USA,IL,"USA, IL",1.2023
16,16,Overlapping qubits from non-isometric maps and de Sitter tensor networks,"Department of Physics, Virginia Tech, Blacksburg",https://arxiv.org/pdf/2304.02673v3,USA,VA,"USA, VA",4.2023
17,17,"Tensor network influence functionals in the continuous-time limit: connections to quantum embedding, bath discretization, and higher-order time propagation","Division of Engineering and Applied Science, California Institute of Technology, Pasadena",https://arxiv.org/pdf/2401.12460v1,USA,CA,"USA, CA",1.2024
18,18,Computational complexity of isometric tensor network states,"Electrical and Computer Engineering, University of Washington, Seattle",https://arxiv.org/pdf/2402.07975v1,USA,WA,"USA, WA",2.2024
19,19,Probing Off-diagonal Eigenstate Thermalization with Tensor Networks,"Electrical and Computer Engineering, University of Washington, Seattle",https://arxiv.org/pdf/2312.00736v2,USA,WA,"USA, WA",12.2023
20,20,Confinement in the Transverse Field Ising model on the Heavy Hex lattice,Flatiron Institute,https://arxiv.org/pdf/2402.01558v2,USA,NY,"USA, NY",2.2024
21,21,Exponential acceleration of macroscopic quantum tunneling in a Floquet Ising model,Flatiron Institute,https://arxiv.org/pdf/2311.17814v2,USA,NY,"USA, NY",11.2023
22,22,Efficient tensor network simulation of IBM&#39;s Eagle kicked Ising experiment,Flatiron Institute,https://arxiv.org/pdf/2306.14887v3,USA,NY,"USA, NY",6.2023
23,23,A Quantum-Classical Collaborative Training Architecture Based on Quantum State Fidelity,Fordham University,https://arxiv.org/pdf/2402.15333v1,USA,NY,"USA, NY",2.2024
24,24,Sampling diverse near-optimal solutions via algorithmic quantum annealing,"Google, Mountain View, California",https://arxiv.org/pdf/2110.10560v3,USA,CA,"USA, CA",10.2021
25,25,Overlapping qubits from non-isometric maps and de Sitter tensor networks,"Institute for Quantum Information and Matter California Institute of Technology, Pasadena",https://arxiv.org/pdf/2304.02673v3,USA,CA,"USA, CA",4.2023
26,26,Overlapping qubits from non-isometric maps and de Sitter tensor networks,"Joint Center for Quantum Information and Computer Science, University of Maryland",https://arxiv.org/pdf/2304.02673v3,USA,MD,"USA, MD",4.2023
27,27,Detecting Measurement-Induced Entanglement Transitions With Unitary Mirror Circuits,"Laboratory for Physical Sciences, 8050 Greenmead Dr., College Park",https://arxiv.org/pdf/2401.17367v1,USA,MD,"USA, MD",1.2024
28,28,Ground state energy and magnetization curve of a frustrated magnetic system from real-time evolution on a digital quantum processor,"Lawrence Berkeley National Laboratory, Berkeley, California",https://arxiv.org/pdf/2401.03015v1,USA,CA,"USA, CA",1.2024
29,29,Sampling diverse near-optimal solutions via algorithmic quantum annealing,"LSIP, Hewlett Packard Labs, Milpitas, California",https://arxiv.org/pdf/2110.10560v3,USA,CA,"USA, CA",10.2021
30,30,Background independent tensor networks,Massachusetts Institute,https://arxiv.org/pdf/2402.05910v1,USA,MA,"USA, MA",2.2024
31,31,Exponential acceleration of macroscopic quantum tunneling in a Floquet Ising model,NASA Ames Research Center,https://arxiv.org/pdf/2311.17814v2,USA,CA,"USA, CA",11.2023
32,32,"Effective quantum volume, fidelity and computational cost of noisy quantum processing experiments",NASA Ames Research Center,https://arxiv.org/pdf/2306.15970v2,USA,CA,"USA, CA",6.2023
33,33,Confinement in the Transverse Field Ising model on the Heavy Hex lattice,New York University,https://arxiv.org/pdf/2402.01558v2,USA,NY,"USA, NY",2.2024
34,34,Efficient tensor network simulation of IBM&#39;s Eagle kicked Ising experiment,New York University,https://arxiv.org/pdf/2306.14887v3,USA,NY,"USA, NY",6.2023
35,35,Quantum 2D Liouville Path-Integral Is a Sum over Geometries in AdS$_3$ Einstein Gravity,"Northeastern University, Boston",https://arxiv.org/pdf/2403.03179v1,USA,MA,"USA, MA",3.2024
