Title,Date,URL,Tags,AdS/CFT,BTZ black hole,BTZ black holes,MERA,RT formula,Renyi entropy,bit thread,black holes,bulk geometry,cMERA,continuous tensor network,einstein equations,emergent space-time geometry,entanglement of assistance,entanglement of purification,entanglement renormalization,geodesics,geometry of entangled states,hawking radiation,holographic code,holographic duality,holographic entanglement,holographic shadow,holography,hyperbolic lattices,quantum bit threads,quantum circuit,quantum computer,quantum error-correcting code,quantum information theory,quantum machine learning,random quantum circuits,stabilizer state,tensor network,tensor networks,tensor networks in machine learning,traversable wormhole,traversable wormholes,Topic
Cutting a Wire with Non-Maximally Entangled States,3.2024,https://arxiv.org/pdf/2403.09690v1,['quantum circuit'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Quantum Computers and Quantum Information
"Uncovering the Invisible: A Study of Gaia18ajz, a Candidate Black Hole Revealed by Microlensing",3.2024,https://arxiv.org/pdf/2403.09006v1,['black holes'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Black Holes and GR
Barrow Entropy and AdS Black Holes in RPS Thermodynamics,3.2024,https://arxiv.org/pdf/2403.08991v1,['black holes'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Black Holes and GR
Black hole thermodynamics in generalized Proca theories,3.2024,https://arxiv.org/pdf/2403.08986v1,['black holes'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Black Holes and GR
Generic spherically symmetric thin-shell wormholes with equilibrium throat at the innermost photonsphere are unstable,3.2024,https://arxiv.org/pdf/2403.08932v1,"['black holes', 'geodesics']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Black Holes and GR
Partitioned Quantum Subspace Expansion,3.2024,https://arxiv.org/pdf/2403.08868v1,['quantum circuit'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Quantum Computers and Quantum Information
The Present-Day Mass Function of Star Clusters in the Solar Neighborhood,3.2024,https://arxiv.org/pdf/2403.08850v1,['black holes'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Black Holes and GR
Doppler holography for ophthalmology,3.2024,https://arxiv.org/pdf/2403.08849v1,['holography'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Holography
Efficient and practical Hamiltonian simulation from time-dependent product formulas,3.2024,https://arxiv.org/pdf/2403.08729v1,['quantum computer'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Quantum Computers and Quantum Information
Stabilizer Tensor Networks: universal quantum simulator on a basis of stabilizer states,3.2024,https://arxiv.org/pdf/2403.08724v1,['tensor networks'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Tensor Networks
Scalarization of isolated black holes in scalar Gauss-Bonnet theory in the fixing-the-equations approach,3.2024,https://arxiv.org/pdf/2403.08705v1,['black holes'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Black Holes and GR
Effect of Earth&#39;s Oblateness on Black Hole Imaging Through Earth-Space and Space-Space VLBI,3.2024,https://arxiv.org/pdf/2403.08606v1,['black holes'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Black Holes and GR
Near horizon symmetry of extremal spacelike-stretched black holes,3.2024,https://arxiv.org/pdf/2403.08529v1,['black holes'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Black Holes and GR
